k,epoca,silhouette_score,davies_bouldin_score,calinski_harabasz_score
2,100,0.2922356550709572,1.2456211531315386,528.9835739237813
2,500,0.2922356550709572,1.2456211531315386,528.9835739237813
2,1000,0.2922356550709572,1.2456211531315386,528.9835739237813
3,100,0.2040079075286708,1.561072261144159,496.4147695668019
3,500,0.2040079075286708,1.561072261144159,496.4147695668019
3,1000,0.2040079075286708,1.561072261144159,496.4147695668019
4,100,0.1961579860077765,1.5602530488947133,379.6869991880803
4,500,0.1961579860077765,1.5602530488947133,379.6869991880803
4,1000,0.1961579860077765,1.5602530488947133,379.6869991880803
5,100,0.19014596506864972,1.618886776006832,346.51507989913495
5,500,0.19014596506864972,1.618886776006832,346.51507989913495
5,1000,0.19014596506864972,1.618886776006832,346.51507989913495
6,100,0.18660564106296249,1.539914230166861,319.7438451070762
6,500,0.18660564106296249,1.539914230166861,319.7438451070762
6,1000,0.18660564106296249,1.539914230166861,319.7438451070762
7,100,0.1685793919183609,1.6680743294271323,290.8241029961155
7,500,0.1685793919183609,1.6680743294271323,290.8241029961155
7,1000,0.1685793919183609,1.6680743294271323,290.8241029961155
8,100,0.20400047789878248,1.5567368379128617,280.8813918219349
8,500,0.20400047789878248,1.5567368379128617,280.8813918219349
8,1000,0.20400047789878248,1.5567368379128617,280.8813918219349
9,100,0.19613430703505524,1.5525975507151601,267.78673603942184
9,500,0.19613430703505524,1.5525975507151601,267.78673603942184
9,1000,0.19613430703505524,1.5525975507151601,267.78673603942184
10,100,0.20405242100534707,1.5099315443361063,257.2239156482959
10,500,0.20405242100534707,1.5099315443361063,257.2239156482959
10,1000,0.20405242100534707,1.5099315443361063,257.2239156482959
