k,epoca,silhouette_score,davies_bouldin_score,calinski_harabasz_score
2,100,0.2666500443675278,1.3910656225476574,457.7274300307815
2,500,0.2666500443675278,1.3910656225476574,457.7274300307815
2,1000,0.2666500443675278,1.3910656225476574,457.7274300307815
3,100,0.156055805219358,2.0126713476755387,316.28783488802947
3,500,0.156055805219358,2.0126713476755387,316.28783488802947
3,1000,0.156055805219358,2.0126713476755387,316.28783488802947
4,100,0.15330188943637998,1.9052823321923031,248.13782045377332
4,500,0.15330188943637998,1.9052823321923031,248.13782045377332
4,1000,0.15330188943637998,1.9052823321923031,248.13782045377332
5,100,0.13630461014801248,2.0903121759183807,211.24519050770323
5,500,0.13630461014801248,2.0903121759183807,211.24519050770323
5,1000,0.13630461014801248,2.0903121759183807,211.24519050770323
6,100,0.13358195661743155,2.025309156142552,189.99877721979723
6,500,0.13358195661743155,2.025309156142552,189.99877721979723
6,1000,0.13358195661743155,2.025309156142552,189.99877721979723
7,100,0.13071188817235638,2.0701660632202876,164.00753836785495
7,500,0.13071188817235638,2.0701660632202876,164.00753836785495
7,1000,0.13071188817235638,2.0701660632202876,164.00753836785495
8,100,0.1403861759738343,2.146073089704033,150.8818916211925
8,500,0.1403861759738343,2.146073089704033,150.8818916211925
8,1000,0.1403861759738343,2.146073089704033,150.8818916211925
9,100,0.13873223526778508,2.089873107880704,143.24962789262986
9,500,0.13873223526778508,2.089873107880704,143.24962789262986
9,1000,0.13873223526778508,2.089873107880704,143.24962789262986
10,100,0.12906496010687668,2.0507142127820255,130.89791638902133
10,500,0.12906496010687668,2.0507142127820255,130.89791638902133
10,1000,0.12906496010687668,2.0507142127820255,130.89791638902133
