k,epoca,silhouette_score,davies_bouldin_score,calinski_harabasz_score
2,100,0.35087383423729185,1.072756047914783,704.4815042247994
2,500,0.35087383423729185,1.072756047914783,704.4815042247994
2,1000,0.35087383423729185,1.072756047914783,704.4815042247994
3,100,0.2216490397225643,1.7384220515730255,462.20654888255945
3,500,0.22183451288913522,1.7409127049241404,461.7421942206643
3,1000,0.22183451288913522,1.7409127049241404,461.7421942206643
4,100,0.14230589112062994,1.6151571909329143,293.94240802520665
4,500,0.14138125307455107,1.6151532044839656,292.9509349584099
4,1000,0.14138125307455107,1.6151532044839656,292.9509349584099
5,100,0.19760346100070325,1.4244342370447491,402.2657592738581
5,500,0.2024196310098375,1.4224911247049368,399.1997621132873
5,1000,0.2024196310098375,1.4224911247049368,399.1997621132873
6,100,0.1803223918054648,1.6106323518711185,328.30015048731406
6,500,0.17562286917325887,1.628244621863355,322.5207573094795
6,1000,0.17562286917325887,1.628244621863355,322.5207573094795
7,100,0.18746121916466157,1.518638883576471,330.43127410987313
7,500,0.18746121916466157,1.518638883576471,330.43127410987313
7,1000,0.18746121916466157,1.518638883576471,330.43127410987313
8,100,0.1182484161042117,1.7164816157690355,239.18504253667308
8,500,0.12922076907323116,1.669832961882224,245.0984694247178
8,1000,0.12922076907323116,1.669832961882224,245.0984694247178
9,100,0.20746143315366253,1.3740586054931694,314.3035402034001
9,500,0.20746143315366253,1.3740586054931694,314.3035402034001
9,1000,0.20746143315366253,1.3740586054931694,314.3035402034001
10,100,0.1835877271292589,1.4476220258138395,307.6790399820535
10,500,0.1835877271292589,1.4476220258138395,307.6790399820535
10,1000,0.1835877271292589,1.4476220258138395,307.6790399820535
