k,umbral,orden,silhouette_score,davies_bouldin_score,calinski_harabasz_score
2,0.5,1,0.4461905083892406,0.844936346283547,1150.196079511911
2,0.5,2,0.4468898535956373,0.8436132756948477,1150.5602610752676
2,0.5,-1,0.44645931286563756,0.844435695435042,1150.4971207735064
2,0.1,1,0.4461905083892406,0.844936346283547,1150.196079511911
2,0.1,2,0.4468898535956373,0.8436132756948477,1150.5602610752676
2,0.1,-1,0.44645931286563756,0.844435695435042,1150.4971207735064
2,0.05,1,0.4461905083892406,0.844936346283547,1150.196079511911
2,0.05,2,0.44633707477602147,0.8448354120457352,1150.5961193191565
2,0.05,-1,0.4453040821718589,0.8465747702213356,1149.959938006881
2,0.01,1,0.4461905083892406,0.844936346283547,1150.196079511911
2,0.01,2,0.44633707477602147,0.8448354120457352,1150.5961193191565
2,0.01,-1,0.4453040821718589,0.8465747702213356,1149.959938006881
3,0.5,1,0.3134331048588002,1.1067108641919867,904.0275148064053
3,0.5,2,0.31516087588183894,1.0919213888415167,912.489285526465
3,0.5,-1,0.30779430895866533,1.124307153125786,894.6053066982718
3,0.1,1,0.31351332072523963,1.1019692941133379,903.4515880034144
3,0.1,2,0.31477118406732774,1.1063738697945766,914.9948738159712
3,0.1,-1,0.30779430895866533,1.124307153125786,894.6053066982718
3,0.05,1,0.31351332072523963,1.1019692941133379,903.4515880034144
3,0.05,2,0.31516087588183894,1.0919213888415167,912.489285526465
3,0.05,-1,0.30586152981821735,1.089564468433507,833.4902348397989
3,0.01,1,0.3134331048588002,1.1067108641919867,904.0275148064053
3,0.01,2,0.31516087588183894,1.0919213888415167,912.489285526465
3,0.01,-1,0.30617947113176175,1.0764130198851836,813.0905267281657
4,0.5,1,0.2637129460272035,1.2600840392594073,748.4636124085215
4,0.5,2,0.2553739963110085,1.2936166276104561,749.0872809893917
4,0.5,-1,0.2405516006847944,1.261097897450548,692.0226698609456
4,0.1,1,0.24727559783795244,1.2960895753562331,740.9467448839058
4,0.1,2,0.2664476669947389,1.2602071195150197,757.2336314464427
4,0.1,-1,0.18193724917096643,0.9083766219189924,434.5399479589802
4,0.05,1,0.2628584116168297,1.2646651898714716,749.0485800572419
4,0.05,2,0.24389216968818941,1.2824605496108687,721.054793947787
4,0.05,-1,0.24080781390579536,1.262396317988296,693.0474773988378
4,0.01,1,0.2621309848735321,1.2621626030173685,748.83362179853
4,0.01,2,0.27484922494908726,1.2027081208386414,758.7515481617694
4,0.01,-1,0.23904191768737193,1.2867839664150844,687.3044982279454
5,0.5,1,0.22935774593444627,1.3583525004294184,650.6612626636247
5,0.5,2,0.16688840877090672,1.4541368858248254,374.63005652517217
5,0.5,-1,0.24406534459734344,1.2745890200733345,657.5391962572406
5,0.1,1,0.2354224414417017,1.3256086131631808,651.4339350231343
5,0.1,2,0.24615726820731726,1.2465257957356717,669.0888621472095
5,0.1,-1,0.24406534459734344,1.2745890200733345,657.5391962572407
5,0.05,1,0.2354224414417017,1.3256086131631808,651.4339350231343
5,0.05,2,0.2462048915578912,1.2463917093018146,669.0879781257584
5,0.05,-1,0.24406673660995312,1.2752950488630983,658.3078977279571
5,0.01,1,0.15018626735647128,1.1829975925873526,383.73584010054384
5,0.01,2,0.19110856270838167,1.04297306301903,421.96729644986743
5,0.01,-1,0.2121970302863373,0.9687314588490434,415.12785688637433
6,0.5,1,0.11880250001197026,2.1299987223869943,339.6269064195661
6,0.5,2,0.13942866717019795,0.9927626486910965,273.4170015577876
6,0.5,-1,0.14870029981442037,0.9815484367340792,273.0877055854375
6,0.1,1,0.0919223206025059,1.531151933306874,254.2948917307183
6,0.1,2,0.16342491785018995,1.0659540482216352,287.04950654504097
6,0.1,-1,0.1462574992555078,1.218259325542224,371.88939247476355
6,0.05,1,0.09757459398010888,1.4481206623063538,288.34910016603305
6,0.05,2,0.13338748217382135,0.981725538473194,267.0502945779094
6,0.05,-1,0.1361379134102773,1.2271043829439792,365.1069934872223
6,0.01,1,0.1671258731808897,1.6963481868951185,398.4723089924219
6,0.01,2,0.26001713996206327,1.2733368099599451,627.2870342324372
6,0.01,-1,0.2593165178033267,1.212043360324945,616.3951280601902
7,0.5,1,0.12492159286932542,2.221139487246466,303.74973939049363
7,0.5,2,0.13952852524332474,0.9963455654649237,223.6581765419118
7,0.5,-1,0.08815483258415495,1.2073767527214796,221.02230050179284
7,0.1,1,0.11344968898737894,1.7363891351921195,284.8472243193687
7,0.1,2,0.13354842480731516,1.2131373573338642,265.37378065555214
7,0.1,-1,0.09433617462921534,1.2096397281139244,241.70836682853965
7,0.05,1,0.24087754078139462,1.229418671745344,554.0406965570214
7,0.05,2,0.18154422569319872,1.1327964186846822,413.58739728400207
7,0.05,-1,0.1296852631338634,1.096644082915445,260.4242662766756
7,0.01,1,0.06226507590161742,1.817450772994017,233.15871250423228
7,0.01,2,0.12776089398798499,1.1484195541045703,329.5865879784956
