k,umbral,orden,silhouette_score,davies_bouldin_score,calinski_harabasz_score
2,0.5,1,0.2744731641543183,1.3614291064893356,464.02775810452516
2,0.5,2,0.2727981542254976,1.3697546743121864,465.5597188788276
2,0.5,-1,0.27295654025152927,1.3702542820156633,465.5593390276376
2,0.1,1,0.2744731641543183,1.3614291064893356,464.02775810452516
2,0.1,2,0.27279409017230377,1.3708882306944765,465.56178275876476
2,0.1,-1,0.27295654025152927,1.3702542820156633,465.5593390276376
2,0.05,1,0.2744731641543183,1.3614291064893356,464.02775810452516
2,0.05,2,0.27279409017230377,1.3708882306944765,465.56178275876476
2,0.05,-1,0.27295654025152927,1.3702542820156633,465.5593390276376
2,0.01,1,0.2744731641543183,1.3614291064893356,464.02775810452516
2,0.01,2,0.27279409017230377,1.3708882306944765,465.56178275876476
2,0.01,-1,0.27295654025152927,1.3702542820156633,465.5593390276376
3,0.5,1,0.15653846809475688,2.0311981642433796,314.5610073796649
3,0.5,2,0.15664293507105706,2.0069026197056172,317.0416447839388
3,0.5,-1,0.15728661988634368,1.86170047902245,285.72445421947197
3,0.1,1,0.15265154104083456,2.024530611348218,313.6755182761124
3,0.1,2,0.1557539756746033,2.0120278475908453,317.09973693395665
3,0.1,-1,0.1537463630498476,2.0151520967560828,311.3948503383262
3,0.05,1,0.15441622328491328,2.057491535084948,312.5732281098567
3,0.05,2,0.15664293507105706,2.0069026197056172,317.041644783939
3,0.05,-1,0.1514556643540189,2.030896206222953,310.95283830255426
3,0.01,1,0.15389542814599125,1.8490967748406237,304.78545474677395
3,0.01,2,0.22837817756918077,1.5380939597277223,285.21950123066875
3,0.01,-1,0.1514556643540189,2.0308962062229527,310.9528383025542
4,0.5,1,0.13687738861937368,2.0996895360012995,232.87981338982922
4,0.5,2,0.15349018734656006,1.9013557188614982,248.7509256038057
4,0.5,-1,0.12674784443312037,2.1791757874190223,237.07868440486573
4,0.1,1,0.1460384866522785,2.0588091907935024,243.65500851094112
4,0.1,2,0.14364920620804786,2.0766053776529643,239.23272241660658
4,0.1,-1,0.1192737510313457,2.2139913608883934,237.43936871286988
4,0.05,1,0.13347494590291362,2.1683675781925635,237.72944485587297
4,0.05,2,0.15392433794449517,1.899047651256391,248.85508370458942
4,0.05,-1,0.13249679391838798,2.2893803688658245,230.92806675252749
4,0.01,1,0.12294859645390253,2.284163199436686,233.64365114186958
4,0.01,2,0.1517466776491871,1.9632691814821248,248.57863862496203
4,0.01,-1,0.10048415445938846,3.1179971694232975,212.46946639511916
5,0.5,1,0.13539629485198368,2.2034928357469887,204.9379534939182
5,0.5,2,0.12273314058658255,2.187764225806427,207.57035202935722
5,0.5,-1,0.11903642804102135,2.2798775675946157,202.0172657050222
5,0.1,1,0.13075631079109004,2.199350857180108,191.90055278435375
5,0.1,2,0.1342426973200324,2.301590281945003,192.8846717082382
5,0.1,-1,0.12392335661400795,2.25144933210384,203.0907569779223
5,0.05,1,0.12509269446335275,2.4404893851776377,186.05545041352948
5,0.05,2,0.13483613635406497,1.9420756735288662,210.18786004453074
5,0.05,-1,0.12240797177165612,1.995626895601219,202.8757014636574
5,0.01,1,0.12096508190067258,1.9269608342570943,178.43540442585297
5,0.01,2,0.1313792170491251,2.1856687243933974,199.95758599338745
5,0.01,-1,0.11135314980034082,2.379731001125969,198.07685515802794
6,0.5,1,0.11278968518237392,2.412292006169209,164.92079038528942
6,0.5,2,0.13408458163226428,2.031776092708928,190.2148791404507
6,0.5,-1,0.1150572992463248,2.284157229769869,173.7504523002281
6,0.1,1,0.13809851443444143,2.0473708245311895,181.74990483394956
6,0.1,2,0.13572226466796716,2.1599596836227977,179.90421706101495
6,0.1,-1,0.10124686714017883,2.5726173231796934,169.18202415890443
6,0.05,1,0.12526957514353357,2.1999430618499236,171.56585635770955
6,0.05,2,0.15065859718483568,2.066953979407037,172.172271257872
6,0.05,-1,0.1315059005622109,2.0519843881135245,185.48123622377824
6,0.01,1,0.12523415885824518,2.1570242269793494,175.83894124212532
6,0.01,2,0.12734750730065422,2.2140748044442837,184.73304659978075
6,0.01,-1,0.09789747526033563,2.468980902390293,171.6783843882418
7,0.5,1,0.12504946907211947,2.4881365756885336,154.77505903381697
7,0.5,2,0.10799269202063294,2.215772226320709,155.36210327372362
7,0.5,-1,0.10397840584004066,2.2129219178924915,153.11243106953157
7,0.1,1,0.11051591460517658,2.400525317854949,140.49568929747724
7,0.1,2,0.1354906147726151,2.1939224715162142,161.87694332303946
7,0.1,-1,0.12373998227174683,2.2802903842189837,158.42041415922623
7,0.05,1,0.11642098000915838,2.428502343139192,153.8473944571365
7,0.05,2,0.13859393610956303,2.057167978948167,167.80599333003656
7,0.05,-1,0.12449506394816667,2.2425373126352226,157.96239357085008
7,0.01,1,0.09793043810492233,2.0208056582918914,138.59817713914882
7,0.01,2,0.1283674635822121,1.929656846727558,167.78428503872271
7,0.01,-1,0.11935900601037407,2.0914463324724624,164.12938840948863
8,0.5,1,0.1043891847248801,2.264042394668194,138.2664554761362
8,0.5,2,0.14554520702961815,2.002058108844969,156.40626501025957
8,0.5,-1,0.09909286929873834,2.2858560009128936,147.81500412064548
8,0.1,1,0.12053690708343558,1.9804448059474535,147.26219923521447
8,0.1,2,0.14726558738823667,1.876077660771764,154.17752756275777
8,0.1,-1,0.10912230067452008,2.167123179177863,147.92269812669153
8,0.05,1,0.10194680068098029,2.419967214793774,126.287359105802
8,0.05,2,0.15049148347775387,1.975356560331662,158.6865198141899
8,0.05,-1,0.11407482321543491,2.169896648170533,149.72618667519774
8,0.01,1,0.10049793767065165,2.324200948771325,139.1886710288913
8,0.01,2,0.13274222960912418,2.0195533854324323,157.66250752535217
8,0.01,-1,0.11650019621361163,2.2047781999176506,150.34841665643313
9,0.5,1,0.11152244516281702,2.2798095272188106,118.78749565598034
9,0.5,2,0.14547804149328078,1.9424312770537624,143.08308414617144
9,0.5,-1,0.09491543503025329,2.3840406727206425,125.76710533968246
9,0.1,1,0.11395963609157278,2.1859368466728544,133.9337595741279
9,0.1,2,0.13446475329375712,1.996852998018631,148.2971747744491
9,0.1,-1,0.1049506020350943,2.116220033118502,136.44742790050023
