k,umbral,orden,silhouette_score,davies_bouldin_score,calinski_harabasz_score
2,0.5,1,0.25493035523667235,1.4326595644560964,416.01158770909507
2,0.5,2,0.2532588966499372,1.449537678448529,417.168267958141
2,0.5,-1,0.25365992638870677,1.4462986337660635,417.16785433948974
2,0.1,1,0.2535453582226533,1.4472626218482418,416.96326926252084
2,0.1,2,0.2532588966499372,1.449537678448529,417.168267958141
2,0.1,-1,0.25365992638870677,1.4462986337660635,417.16785433948974
2,0.05,1,0.2549048050527809,1.4369309515911006,415.94346689948026
2,0.05,2,0.2537138865681525,1.4449917355640678,417.1953143806871
2,0.05,-1,0.25365992638870677,1.4462986337660635,417.16785433948974
2,0.01,1,0.25450328330006783,1.4398578878040151,415.94332988727024
2,0.01,2,0.2535239072815638,1.446983611888706,417.19380577098946
2,0.01,-1,0.25365992638870677,1.4462986337660635,417.16785433948974
3,0.5,1,0.14259116991579923,2.165354564788658,279.7295785059994
3,0.5,2,0.1434284646873876,2.1415678059202885,281.3093547979302
3,0.5,-1,0.13935029297860144,1.9776221227362818,262.8649583367804
3,0.1,1,0.1449237988946954,2.1668052054124534,279.1161843113328
3,0.1,2,0.1434284646873876,2.1415678059202885,281.3093547979302
3,0.1,-1,0.13905455462887503,2.5356704130084053,251.00574643438526
3,0.05,1,0.1449237988946954,2.1668052054124534,279.1161843113328
3,0.05,2,0.14439146668674016,2.1417125576757834,281.27445357206324
3,0.05,-1,0.14036604912458642,2.168835105121075,274.9511466597676
3,0.01,1,0.1400264243628678,1.960628361121601,272.55911823869
3,0.01,2,0.14439146668674016,2.1417125576757834,281.27445357206324
3,0.01,-1,0.1410932295410827,2.016418241077043,251.8173056076828
4,0.5,1,0.1162738076698513,2.368955567307166,203.44961342187256
4,0.5,2,0.14012370651007747,2.004171996570958,219.4920477439542
4,0.5,-1,0.11672737247236639,2.285934359797178,198.19638372217457
4,0.1,1,0.12767630332263488,2.3671776741898833,208.6385752349628
4,0.1,2,0.12929876447280148,2.3422999494821246,213.08327328109957
4,0.1,-1,0.09173111168132823,3.378889159860704,187.2721298648381
4,0.05,1,0.11202265909434186,2.1830563094268047,194.25156021428205
4,0.05,2,0.11989904445732025,2.2714378894964624,216.3044389232681
4,0.05,-1,0.11227776769733301,2.31581809073891,207.70070308730524
4,0.01,1,0.12175162714725755,2.5023229953163795,207.81479903764713
4,0.01,2,0.12929876447280148,2.3422999494821246,213.08327328109954
4,0.01,-1,0.135866877593944,2.0513591390025843,214.7346514611998
5,0.5,1,0.11885717254837042,2.185697741640893,182.23620460943448
5,0.5,2,0.13459120610579192,2.171887855010369,185.24376826360884
5,0.5,-1,0.11010244691425977,2.36766821611404,176.89355692618005
5,0.1,1,0.13812957389369623,2.1936598061836485,178.13380329739098
5,0.1,2,0.13237987338752039,2.2029569997902296,185.50910389051555
5,0.1,-1,0.08496740953941666,2.7115067759859315,161.75923615552955
5,0.05,1,0.13381901646501362,2.282462402559669,168.9176510345563
