k,umbral,orden,silhouette_score,davies_bouldin_score,calinski_harabasz_score
2,0.5,1,0.4757767970663596,0.7839203254265167,1295.9822548884895
2,0.5,2,0.4765688041931631,0.7827860789167924,1296.4515859619896
2,0.5,-1,0.4761276911691235,0.7834583584871851,1296.3316332150243
2,0.1,1,0.4757767970663596,0.7839203254265167,1295.9822548884895
2,0.1,2,0.4759404530047826,0.7838098897445152,1296.437872886195
2,0.1,-1,0.4761276911691235,0.7834583584871851,1296.3316332150243
2,0.05,1,0.4757767970663596,0.7839203254265167,1295.9822548884895
2,0.05,2,0.4765688041931631,0.7827860789167924,1296.4515859619896
2,0.05,-1,0.4761276911691235,0.7834583584871851,1296.3316332150243
2,0.01,1,0.4757767970663596,0.7839203254265167,1295.9822548884895
2,0.01,2,0.4759404530047826,0.7838098897445152,1296.437872886195
2,0.01,-1,0.47480004699496536,0.7852418397198773,1295.6571185660703
3,0.5,1,0.35054416237687996,0.9842050131236245,1059.3209396607335
3,0.5,2,0.3512711374835259,0.9794031391989838,1069.425852007943
3,0.5,-1,0.3445718878877114,0.9948589510242848,1047.0214454451213
3,0.1,1,0.3492273638052641,0.9846559284028773,1056.2330785617792
3,0.1,2,0.3523547721024108,0.980936643530673,1074.257196069156
3,0.1,-1,0.34476193750357403,0.9937445065459247,1047.0990150500606
3,0.05,1,0.3510426629236867,0.9836069553708239,1059.4328240012997
3,0.05,2,0.3523547721024108,0.980936643530673,1074.257196069156
3,0.05,-1,0.3395556559659007,0.9938217787600863,967.5024220635775
3,0.01,1,0.35054416237687996,0.9842050131236245,1059.3209396607335
3,0.01,2,0.3523547721024108,0.980936643530673,1074.257196069156
3,0.01,-1,0.33909676705211317,0.9884727813630857,941.1367983048561
4,0.5,1,0.2885202668782646,1.1544144589490055,889.7784878869784
4,0.5,2,0.19634869352486098,0.8424479452441131,463.2930308185486
4,0.5,-1,0.19666673114972347,0.8360945364183093,458.26490484977853
4,0.1,1,0.27313035473557123,1.1621247126538525,841.0358085180144
4,0.1,2,0.23578185578829872,0.8328581928617554,493.5472793792543
4,0.1,-1,0.19489199840785257,0.8371327971294038,460.20816652148056
4,0.05,1,0.22038705326477198,0.88277340269905,555.5293170940304
4,0.05,2,0.29647237258845965,1.1530389772932352,902.0767476757579
4,0.05,-1,0.2198409941033669,0.8795356645700766,475.66742308912404
4,0.01,1,0.3021747167930819,1.1330812161374115,900.4214237356019
4,0.01,2,0.31775761207091263,1.077207060886854,916.0492257778631
4,0.01,-1,0.1972352983604738,0.8390990033973659,467.89735511849096
5,0.5,1,0.1087170605224235,1.27041511670461,313.09587739580445
5,0.5,2,0.15311926254219912,0.9863360810064503,348.9714499080981
5,0.5,-1,0.23676699389231304,1.0517054445197354,673.2330678039351
5,0.1,1,0.15415384542164198,1.523832271141058,378.46145051745214
5,0.1,2,0.22662049771063847,1.1429408886912704,495.3813713773058
5,0.1,-1,0.22215777549749777,0.9031244004770899,488.26418346188177
5,0.05,1,0.18919041855397542,1.2510464694844974,346.8521705416896
5,0.05,2,0.23115638226087018,1.292197901831197,524.3306696201191
5,0.05,-1,0.2784643473294395,1.246111736337865,767.3548910740021
5,0.01,1,0.24199548390762893,1.03074719660194,476.0307810232794
5,0.01,2,0.23034965082967485,0.9843674047576898,585.4081441026686
5,0.01,-1,0.12092838978534383,1.126455062601949,309.515160093845
6,0.5,1,0.17906783213115268,1.0346880856336018,351.78379233748564
6,0.5,2,0.20863341609917466,0.941515969488808,386.58087498774927
6,0.5,-1,0.19877036447901933,0.8741749410203384,436.45892674439284
6,0.1,1,0.09518389821903701,1.7069983003866391,261.46607152086705
6,0.1,2,0.22772834913757625,1.1920943129968493,516.3617911427463
6,0.1,-1,0.1665592158051416,0.9865778534637935,273.0444690967314
6,0.05,1,0.20338400027725237,1.085480406295095,436.1411757065722
6,0.05,2,0.1821430312201176,0.9090504049939311,297.45247001556294
6,0.05,-1,0.16700288644525493,0.9724642184311157,412.643427060184
6,0.01,1,0.2112134600789047,1.0963224428284009,569.7985383921488
6,0.01,2,0.16655032743666104,0.9056411218982362,267.699523855942
6,0.01,-1,0.15365026296392978,1.170123449959806,404.9994366311389
7,0.5,1,0.08521598164079894,1.7825169348217813,306.46128409944663
7,0.5,2,0.1778155418929374,0.8975003932802651,308.4618561230775
7,0.5,-1,0.10425630750803389,0.9813236657360918,240.62760808240301
7,0.1,1,0.15836322347810228,0.997313686529558,367.6372821442797
7,0.1,2,0.22892219994346494,0.9471961448504918,425.2868998315498
7,0.1,-1,0.1413569691084395,1.179178235324409,371.16656722213304
