k,umbral,orden,silhouette_score,davies_bouldin_score,calinski_harabasz_score
2,0.5,1,0.24496685966554624,1.476916663528021,392.8418146277248
2,0.5,2,0.24337472844048522,1.4943425828238155,393.92235493428205
2,0.5,-1,0.24376370987778626,1.4910030726913504,393.91882571901215
2,0.1,1,0.2416706868456923,1.5014110673777579,392.4099397949486
2,0.1,2,0.24380963261734293,1.4896657667211295,393.9456159428472
2,0.1,-1,0.24376370987778626,1.4910030726913504,393.91882571901215
2,0.05,1,0.2416706868456923,1.5014110673777579,392.4099397949486
2,0.05,2,0.24337472844048522,1.4943425828238155,393.92235493428205
2,0.05,-1,0.24376370987778626,1.4910030726913504,393.91882571901215
2,0.01,1,0.2416706868456923,1.5014110673777579,392.4099397949486
2,0.01,2,0.24337472844048522,1.4943425828238155,393.92235493428205
2,0.01,-1,0.24376370987778626,1.4910030726913504,393.91882571901215
3,0.5,1,0.13722555100576722,2.245519517257239,262.3944585071465
3,0.5,2,0.136920940550685,2.2147956717145427,264.2050060186237
3,0.5,-1,0.13422551441071634,2.0173792888784536,239.32008159499551
3,0.1,1,0.12988543026562235,2.0779411228105875,257.43346531378916
3,0.1,2,0.1366196237730424,2.2152867407149097,264.2033303442163
3,0.1,-1,0.13186344145485002,2.0413092522048824,247.2331692479475
3,0.05,1,0.13605352458310782,2.260503372014021,261.3577427705717
3,0.05,2,0.20142945917483124,1.6713972963081536,239.48730010793474
3,0.05,-1,0.1337958022195948,2.243078085921926,258.3473919961508
3,0.01,1,0.1875486385575131,2.363250260780004,205.0215784919084
3,0.01,2,0.1366196237730424,2.2152867407149097,264.2033303442163
3,0.01,-1,0.13422551441071634,2.0173792888784536,239.32008159499551
4,0.5,1,0.12661903036548014,2.2404069487858167,195.7901046986445
4,0.5,2,0.11429496505713713,2.395022639168132,196.54481248580873
4,0.5,-1,0.08564533451483528,3.17229344479985,180.61482980363013
4,0.1,1,0.17483612623619568,1.4375776518310277,164.87159923950333
4,0.1,2,0.1250628803322192,2.438434149341807,198.48499348927672
4,0.1,-1,0.12775025058513453,2.1282731717651067,200.571512343796
4,0.05,1,0.12987200997360426,2.141153005074094,203.0069712754467
4,0.05,2,0.12557587053524247,2.4352204562147977,198.67971507947726
4,0.05,-1,0.08994407175168101,2.5634060722616665,188.20134329458597
4,0.01,1,0.12008462720628894,2.6907294152815906,187.77100982314974
4,0.01,2,0.12713897854230183,2.2807313720809512,198.23880200671567
4,0.01,-1,0.12775025058513453,2.128273171765107,200.571512343796
5,0.5,1,0.11393384548007157,2.3264372451746516,167.74919108754037
5,0.5,2,0.12252254212295356,2.2718473106840475,173.92359044155737
5,0.5,-1,0.10705651891484731,2.6378102145419917,161.94840934436928
5,0.1,1,0.10805306515238687,2.509665598902688,164.01036012123936
5,0.1,2,0.11340750410992596,2.371474415764005,168.55310977816632
5,0.1,-1,0.11685958854295843,2.321039875276688,166.87165594765827
5,0.05,1,0.09939279745091753,2.6284522596297855,153.82015955605416
