k,umbral,orden,silhouette_score,davies_bouldin_score,calinski_harabasz_score
2,0.5,1,0.39165815815810967,0.9937395756085695,852.8693506962154
2,0.5,2,0.39165815815810967,0.9937395756085695,852.8693506962154
2,0.5,-1,0.3912313042035091,0.9971786145742126,852.15931416909
2,0.1,1,0.39165815815810967,0.9937395756085695,852.8693506962154
2,0.1,2,0.39165815815810967,0.9937395756085695,852.8693506962154
2,0.1,-1,0.3912313042035091,0.9971786145742126,852.15931416909
2,0.05,1,0.39165815815810967,0.9937395756085695,852.8693506962154
2,0.05,2,0.39165815815810967,0.9937395756085695,852.8693506962154
2,0.05,-1,0.3912313042035091,0.9971786145742126,852.15931416909
2,0.01,1,0.39165815815810967,0.9937395756085695,852.8693506962154
2,0.01,2,0.39165815815810967,0.9937395756085695,852.8693506962154
2,0.01,-1,0.3912313042035091,0.9971786145742126,852.15931416909
3,0.5,1,0.24951326733223536,1.3817086193931658,624.8677311624235
3,0.5,2,0.2536705255251784,1.3492474443836284,634.5112293095489
3,0.5,-1,0.26148205240024525,1.3353453955147752,559.9149255888365
3,0.1,1,0.24921536374130054,1.3767922745290946,625.2917650028977
3,0.1,2,0.2535222524646602,1.349980095976649,634.5198220508037
3,0.1,-1,0.25102640268899834,1.3487068624114595,624.3090828555232
3,0.05,1,0.3396242442716833,1.2141895213468399,526.6579385503494
3,0.05,2,0.2535222524646602,1.349980095976649,634.5198220508037
3,0.05,-1,0.25102640268899834,1.3487068624114595,624.3090828555232
3,0.01,1,0.24977893774458165,1.3766723620772094,626.4019451107323
3,0.01,2,0.2535222524646602,1.349980095976649,634.5198220508037
3,0.01,-1,0.26197067013611053,1.3522692351926027,552.3323058333252
4,0.5,1,0.24356391350725434,1.383656242754243,508.36739365845926
4,0.5,2,0.24944973497990575,1.426014709088351,514.0819378915689
4,0.5,-1,0.17955890745143985,1.6263927009055683,436.62611202056905
4,0.1,1,0.24216137823551456,1.4177188562368466,508.40251832276107
4,0.1,2,0.25391730981647753,1.3316010855568372,517.3437635821781
4,0.1,-1,0.18400702684682793,1.6348368615556876,441.73170743006114
4,0.05,1,0.2421908547995771,1.4144449912215267,507.7402467237517
4,0.05,2,0.25400943909169754,1.3332415512112041,517.398274960838
4,0.05,-1,0.23325693903684652,1.5254063207538482,503.3985046796203
4,0.01,1,0.24201881965798616,1.4140123150358823,507.7957080639269
4,0.01,2,0.24944973497990575,1.426014709088351,514.0819378915689
4,0.01,-1,0.24956690382223978,1.341480055854028,507.66993995042003
5,0.5,1,0.23000054337317857,1.406823639548739,435.04933324018157
5,0.5,2,0.18636137710352493,1.211755471597672,317.7177485757659
5,0.5,-1,0.2023278552970995,1.5352110874918936,425.6703038392828
5,0.1,1,0.1694069486653257,1.8705978703921229,361.7905869056864
5,0.1,2,0.2239764164080005,1.4609561331885337,443.6218259555018
5,0.1,-1,0.1807736591166759,1.2429868624748677,313.4059556166474
5,0.05,1,0.17669053716396138,1.484826201093055,315.0878454852208
5,0.05,2,0.2272971938744123,1.438220443507474,443.00769087546354
5,0.05,-1,0.17440629282499,1.28402807638685,315.14745168823305
5,0.01,1,0.22975509330637464,1.4073147658231009,435.437093271287
5,0.01,2,0.14449571426755717,1.4982802198923195,371.43454063431125
5,0.01,-1,0.1755148644981829,1.3425380824711104,314.4283745121868
6,0.5,1,0.13804120609500303,2.0573466465757813,274.65485703591213
6,0.5,2,0.1607811884589083,1.1584879257813938,264.8500777329226
6,0.5,-1,0.16210384114185145,1.5144410595143651,278.66845476067226
6,0.1,1,0.15599040685907284,1.4281370911965474,293.82804008951456
6,0.1,2,0.16001573154557264,1.327916089667697,302.5789278059247
6,0.1,-1,0.11959825280179365,1.3794618288680092,249.13190908006547
6,0.05,1,0.15781215921927094,1.506222021736043,289.90360360635196
6,0.05,2,0.1537201138523548,1.2069985409123811,256.8230015190327
6,0.05,-1,0.13101918722225261,1.3417742606545358,259.26545097529913
6,0.01,1,0.08878888470663579,1.3749428836906774,220.76562253363088
6,0.01,2,0.15799968710811516,1.2108028376480455,266.0077594410125
6,0.01,-1,0.14364557332163724,1.6285233569099133,319.8296344783281
7,0.5,1,0.09973358527980408,1.834282220202378,257.903823662369
7,0.5,2,0.07707752318873647,1.6073662174143983,258.88723205845207
7,0.5,-1,0.11376560729269872,1.7493739586929546,222.31694788920046
7,0.1,1,0.08597092365749288,2.263874305535921,246.44042125455115
7,0.1,2,0.10340381899871738,1.6603413352217637,257.8203032080181
7,0.1,-1,0.11078791413007524,1.8525377366165812,254.06980676696466
7,0.05,1,0.12170297783273834,1.5574322365863418,272.2667733389734
7,0.05,2,0.14119443023230002,1.3449815815919344,234.80060216777503
7,0.05,-1,0.09189658506613947,1.8793211145621738,204.22301323674233
7,0.01,1,0.13234879875893418,1.5567251150549162,239.40346937732775
7,0.01,2,0.11859101612504717,1.377525485030161,212.16500840379896
7,0.01,-1,0.13582723702641683,1.615461797372489,230.05655991740727
8,0.5,1,0.11290946215747077,1.4138807816962362,272.69814784976893
8,0.5,2,0.08724481668090137,1.5886336559573315,242.295237587097
8,0.5,-1,0.08615361111543296,1.8877165633719624,209.74999144291866
8,0.1,1,0.08414539780931371,2.3126435958291833,207.19035578729503
8,0.1,2,0.0762453331960844,1.5565730416120036,212.81630272449942
8,0.1,-1,0.10098684777239729,2.030653406538281,209.83058507025768
8,0.05,1,0.07735281514074616,1.701087561900706,236.90985097872743
8,0.05,2,0.14369805236224617,1.5774017804919207,263.939613665456
8,0.05,-1,0.1293338261054737,1.670263922087153,244.870256000446
8,0.01,1,0.10336996839701665,1.573323123840782,266.43283035691314
8,0.01,2,0.05966554187626587,1.548115868372036,209.98782731339318
8,0.01,-1,0.08966306642349103,2.0079111969854173,203.82512606625414
9,0.5,1,0.06444624204718843,1.7050563107475436,191.52926942663885
9,0.5,2,0.12015917873727883,1.9515528251694485,284.32409735387
9,0.5,-1,0.09582824162045124,1.9230847172011,207.17952413103922
9,0.1,1,0.09522422896917453,1.7435582341916949,222.53227996063913
9,0.1,2,0.11810382954752399,1.6368847139387193,273.19085491064163
9,0.1,-1,0.10819823962477298,1.633332539399688,220.68340208225376
9,0.05,1,0.10664657211327615,1.7291044174204626,232.80155032668253
9,0.05,2,0.1240036542348143,1.453416693432203,244.1515232013144
9,0.05,-1,0.0939280104379546,1.6261352118206458,207.9356569387533
9,0.01,1,0.09333859931038775,2.021727610247907,238.77029956910164
9,0.01,2,0.13078544101745296,1.5037752185136308,213.72115830210106
9,0.01,-1,0.10553735905497774,1.6750796395155216,212.11046912615433
10,0.5,1,0.11420168439971849,1.7782373622846854,226.46973360682412
10,0.5,2,0.13416080816431838,1.509342064390215,210.34620217773823
10,0.5,-1,0.10635699793113337,1.4051406590071451,169.36165683176233
10,0.1,1,0.10288281672491857,1.7211414837731778,216.57813211595882
10,0.1,2,0.0734294083163375,1.449359054449017,187.21136603680674
10,0.1,-1,0.08102309371938157,1.7064444431122536,203.71672287151654
10,0.05,1,0.07909841756583248,1.9169588169423166,182.7006964885733
10,0.05,2,0.07899066694785414,1.6533042621643272,208.17311510011675
10,0.05,-1,0.10754982969704947,1.5883865035306415,170.7310629654703
10,0.01,1,0.0880481218415644,2.5504694126363794,185.5686824108845
10,0.01,2,0.1060779412151294,1.6239815158942466,227.5896366999516
10,0.01,-1,0.10352335366787692,1.4821403749127402,196.2457158339175
