k,umbral,orden,silhouette_score,davies_bouldin_score,calinski_harabasz_score
2,0.5,1,0.30804839073086115,1.243695484787007,569.5949047519235
2,0.5,2,0.3103554814367483,1.2341260901922306,570.8830964998397
2,0.5,-1,0.3100326990902611,1.2378360561435255,570.7934680281428
2,0.1,1,0.30733671357388875,1.2457959674756773,569.1523191573334
2,0.1,2,0.3103554814367483,1.2341260901922306,570.8830964998397
2,0.1,-1,0.3100326990902611,1.2378360561435255,570.7934680281428
2,0.05,1,0.310299493973473,1.2342221142827559,570.7689864727018
2,0.05,2,0.31010841868133504,1.2357621690974034,570.8689274783767
2,0.05,-1,0.3100326990902611,1.2378360561435255,570.7934680281428
2,0.01,1,0.310299493973473,1.2342221142827559,570.7689864727018
2,0.01,2,0.3103554814367483,1.2341260901922306,570.8830964998397
2,0.01,-1,0.3100326990902611,1.2378360561435255,570.7934680281428
3,0.5,1,0.17781222328112115,1.7901600229153969,393.96314042356005
3,0.5,2,0.18091540464447184,1.7745475852210288,396.99519145779703
3,0.5,-1,0.19062473627282503,1.6960643879607484,354.4151796081897
3,0.1,1,0.25331302781912396,1.5965124915115345,346.274308717602
3,0.1,2,0.1820567627610674,1.771293719126591,396.94615871036876
3,0.1,-1,0.17851122487407586,1.786640121191555,389.6526686757566
3,0.05,1,0.17590967495117169,1.7114517591139993,384.6660294568429
3,0.05,2,0.1820567627610674,1.771293719126591,396.94615871036876
3,0.05,-1,0.19062473627282503,1.6960643879607484,354.41517960818965
3,0.01,1,0.18191818503443188,1.652966160550812,381.1905931235239
3,0.01,2,0.18199174750095584,1.7717378826061447,396.9502708962419
3,0.01,-1,0.1789337913242778,1.7826899901593958,389.9471737020821
4,0.5,1,0.17661492339168577,1.760269038809526,310.28974127105454
4,0.5,2,0.15638799625576608,1.950457994254322,298.4524116479407
4,0.5,-1,0.13474964192616554,2.0300950441550967,272.4285590348941
4,0.1,1,0.17142560827652867,1.864737030770622,309.13490927927813
4,0.1,2,0.1756976794911311,1.7866126661131831,314.05618024235025
4,0.1,-1,0.1737869245981208,1.7834128216795757,306.856681777258
4,0.05,1,0.17145850308362767,1.859288168905068,308.46806446326815
4,0.05,2,0.18076341969404755,1.7013094701775413,314.89027751701644
4,0.05,-1,0.1737869245981208,1.7834128216795757,306.856681777258
4,0.01,1,0.17142560827652867,1.864737030770622,309.13490927927813
4,0.01,2,0.17518296560439586,1.7944139543182305,313.9852536528316
4,0.01,-1,0.17433882988409527,1.7738293159067793,307.2788589990767
5,0.5,1,0.14543356926285905,2.1895896501124223,248.94052459365648
5,0.5,2,0.16324899027470527,1.8840695992156493,259.25993589759554
5,0.5,-1,0.14445343589900322,1.8644023530058917,255.67420945815232
5,0.1,1,0.1548592716443235,2.0013447256549397,258.80025504467153
5,0.1,2,0.1615795335190888,1.898590418559229,259.3195650428022
5,0.1,-1,0.1543998464434727,1.7483124473735192,263.43510089355743
5,0.05,1,0.14780224379974366,2.0725799159481544,251.3671854360794
5,0.05,2,0.16440996845449876,1.8422207895811002,266.94076666890317
5,0.05,-1,0.13766088446340036,2.2415530902599166,246.24885061291604
5,0.01,1,0.15245829866960903,2.137151292034277,234.0768680791653
5,0.01,2,0.16156641865826443,1.725733455304861,269.3992343074358
5,0.01,-1,0.15931547955870295,1.7526493348198735,260.32860404005646
6,0.5,1,0.14795320943466334,1.9745092297242375,217.8115227123125
6,0.5,2,0.16282611498775945,1.7518808467527458,241.9338637013321
6,0.5,-1,0.15905846722203737,1.785270641415039,240.8335433569077
6,0.1,1,0.16068210115920128,1.8130507608949227,231.78748894400303
6,0.1,2,0.15857480903462678,1.798121662647236,241.24513876680308
6,0.1,-1,0.14627628860045386,1.8745606728681767,230.8511215660115
6,0.05,1,0.15595982253812285,1.9091240593152978,223.59938801250675
6,0.05,2,0.16321882837495683,1.7518463020777233,242.40405222636892
6,0.05,-1,0.12836549494435553,2.157655774016193,222.53807326766415
