k,umbral,orden,silhouette_score,davies_bouldin_score,calinski_harabasz_score
2,0.5,1,0.29843325353643196,1.2737735299615998,536.6683907719004
2,0.5,2,0.29819938045459987,1.276056681975994,536.8563554516265
2,0.5,-1,0.29813162223126954,1.2781870773956348,536.788829592672
2,0.1,1,0.29616530675817393,1.283730776647754,535.5489325837357
2,0.1,2,0.29819938045459987,1.276056681975994,536.8563554516265
2,0.1,-1,0.29813162223126954,1.2781870773956348,536.788829592672
2,0.05,1,0.29508310378230745,1.2882204695569572,534.8476887442285
2,0.05,2,0.29843637209677126,1.2743627404497757,536.8693708700305
2,0.05,-1,0.29813162223126954,1.2781870773956348,536.788829592672
2,0.01,1,0.29843325353643196,1.2737735299615998,536.6683907719004
2,0.01,2,0.29843637209677126,1.2743627404497757,536.8693708700305
2,0.01,-1,0.29813162223126954,1.2781870773956348,536.788829592672
3,0.5,1,0.1706978759741862,1.8654724664192532,367.8596531758173
3,0.5,2,0.1720835826897583,1.8448319699812805,370.457922429233
3,0.5,-1,0.17030799851606868,1.8535649106343535,364.06076766677273
3,0.1,1,0.17147282968969474,1.7211604666535456,359.1161803480014
3,0.1,2,0.1720835826897583,1.8448319699812805,370.457922429233
3,0.1,-1,0.18054108331296181,1.7510572771194093,331.8337710408934
3,0.05,1,0.24677137102397326,1.5694017400491258,323.30576895139205
3,0.05,2,0.1720835826897583,1.8448319699812805,370.457922429233
3,0.05,-1,0.17739131155872861,1.7399659946834094,328.0472141392318
3,0.01,1,0.1706978759741862,1.8654724664192532,367.8596531758173
3,0.01,2,0.25417905081978365,1.4920580819911704,329.60953785069825
3,0.01,-1,0.17030799851606868,1.8535649106343535,364.06076766677273
4,0.5,1,0.12549071005751583,2.1159967959510126,280.89308526830007
4,0.5,2,0.1436898479951456,2.04325874579764,281.4425664263959
4,0.5,-1,0.1647730285613534,1.8413217149309478,285.36469313968337
4,0.1,1,0.16093036477623618,1.9013597324821263,285.9438520097874
4,0.1,2,0.1707467862667299,1.7725320630621373,292.2779402001268
4,0.1,-1,0.16424550770100738,1.8512896658243805,284.9782579810331
4,0.05,1,0.16110914999924905,1.9017608950433473,285.78693942089654
4,0.05,2,0.14599130883844805,2.056453432916209,276.41299877376
4,0.05,-1,0.16424550770100738,1.8512896658243805,284.97825798103315
4,0.01,1,0.16167183648219205,1.9343086587002722,287.0735363736412
4,0.01,2,0.17084781011472522,1.765597457743721,292.2668476618503
4,0.01,-1,0.16424550770100738,1.8512896658243805,284.97825798103315
5,0.5,1,0.13157433134048693,2.2738504942363997,233.18507307471808
5,0.5,2,0.15568416571073862,1.9217692969269258,246.70772234864015
5,0.5,-1,0.13245742618796594,2.075835018727994,236.26586144302033
5,0.1,1,0.14371374225540096,2.24084026866863,216.84601602920839
5,0.1,2,0.16004101413483288,1.8592846017296296,247.01170644210825
5,0.1,-1,0.14062063053832266,2.020610004029917,239.99780093265588
5,0.05,1,0.15310710565173527,1.9507250651875723,238.8416836117303
5,0.05,2,0.15326282526913898,1.9783129120807523,239.9336378657422
5,0.05,-1,0.13186987642535733,2.052558157992281,232.97681042546338
5,0.01,1,0.15086221890225532,2.0080046939487737,240.41329633258553
5,0.01,2,0.1561566066461968,1.9189442081588641,246.70035572722185
5,0.01,-1,0.14062063053832266,2.020610004029917,239.9978009326559
6,0.5,1,0.12411655447009884,2.0321768169040006,209.49348997409243
6,0.5,2,0.15283265856648762,1.842848404056131,225.7730300217628
6,0.5,-1,0.1436991311249132,1.893854404941275,219.0785993857951
6,0.1,1,0.1471612775708691,1.9982231713726704,208.50216032977838
6,0.1,2,0.1405618798524338,1.8522008761781974,220.35285866952162
6,0.1,-1,0.1436991311249132,1.893854404941275,219.0785993857951
6,0.05,1,0.13633492667230956,2.0534855675219683,199.7266284851974
6,0.05,2,0.15016095056655918,1.8569215102255585,225.35891148060995
6,0.05,-1,0.1497561695253386,1.8592066656327892,221.56131915574196
6,0.01,1,0.14997724448384644,1.836229358980445,218.18367995408272
6,0.01,2,0.15423840936899386,1.8227249583331366,223.016631683313
6,0.01,-1,0.1436991311249132,1.893854404941275,219.0785993857951
7,0.5,1,0.1308298585291756,2.00648470539496,185.52830920599695
7,0.5,2,0.13653305136479152,1.896767121294363,198.09936566157475
7,0.5,-1,0.1295356015654709,1.9576435562016152,192.1108397148402
