k,umbral,orden,silhouette_score,davies_bouldin_score,calinski_harabasz_score
2,0.5,1,0.3241398457575601,1.1909725233400679,617.6611754735266
2,0.5,2,0.32616091704724476,1.1839517030121953,618.8716441267233
2,0.5,-1,0.32581453828527823,1.1874316723815628,618.797855453066
2,0.1,1,0.32304024784523083,1.193615249999565,616.9547422526596
2,0.1,2,0.32616091704724476,1.1839517030121953,618.8716441267233
2,0.1,-1,0.32581453828527823,1.1874316723815628,618.797855453066
2,0.05,1,0.3242267865506931,1.1904923293316958,617.502936762475
2,0.05,2,0.3258957624897646,1.1854579231155402,618.8715162867808
2,0.05,-1,0.32581453828527823,1.1874316723815628,618.797855453066
2,0.01,1,0.3242267865506931,1.1904923293316958,617.502936762475
2,0.01,2,0.3258957624897646,1.1854579231155402,618.8715162867808
2,0.01,-1,0.32581453828527823,1.1874316723815628,618.797855453066
3,0.5,1,0.19336763091773976,1.5911275218023473,416.64136617350186
3,0.5,2,0.19403205254530875,1.6806656622635705,435.2485037240385
3,0.5,-1,0.19047958845893934,1.6907367639853488,427.2480690296085
3,0.1,1,0.2694191993571173,1.547883749619735,377.55085445232424
3,0.1,2,0.19403205254530875,1.6806656622635705,435.2485037240385
3,0.1,-1,0.20486917482539035,1.6280972774117284,386.9177738435657
3,0.05,1,0.2736463735758351,1.534133679811193,378.06167922123745
3,0.05,2,0.2852934839259172,1.3651908612208359,383.7273049178072
3,0.05,-1,0.19047958845893934,1.690736763985349,427.2480690296085
3,0.01,1,0.18925521510640012,1.7112841703443051,430.4872002499608
3,0.01,2,0.19311943795245373,1.683105565944888,435.4089285063915
3,0.01,-1,0.20121531694901243,1.6131483934095006,382.38437139989077
4,0.5,1,0.18321726449212786,1.785175715833332,340.6192184607733
4,0.5,2,0.19582248072823086,1.5918024092706582,347.61474287731755
4,0.5,-1,0.13509810664526717,2.0713095857017674,294.1705096326928
4,0.1,1,0.18321726449212786,1.785175715833332,340.61921846077325
4,0.1,2,0.19343130898067087,1.6274087709293428,347.5910229097412
4,0.1,-1,0.18603756633476795,1.7018192403217007,338.2493136144998
4,0.05,1,0.18640891379681035,1.7589717733401193,339.86957282671875
4,0.05,2,0.19359553370144966,1.621018647230294,347.60067911821363
4,0.05,-1,0.1866394065227101,1.6925829215211214,338.74047132221517
4,0.01,1,0.15401097680138404,2.1046420043487184,293.21516701722027
4,0.01,2,0.19359553370144966,1.621018647230294,347.6006791182136
4,0.01,-1,0.18603756633476795,1.7018192403217007,338.2493136144998
5,0.5,1,0.16812012707246407,1.847570020008897,285.38145205324855
5,0.5,2,0.17626344027520544,1.7415029042100465,296.4692135289777
5,0.5,-1,0.14612871413310805,2.0221302257793243,258.4461805326653
5,0.1,1,0.15832278217267917,1.9637176272489842,272.1820328501319
5,0.1,2,0.1804726769758676,1.6869744075148794,296.7694014430956
5,0.1,-1,0.15797487472048533,1.856575921887703,286.1093832387162
5,0.05,1,0.1729683567897588,1.6469512766739751,296.3601323898815
5,0.05,2,0.17271507335155883,1.6514099687042443,299.0668394211619
5,0.05,-1,0.16705872410851297,1.6612261791846497,292.2236900935754
5,0.01,1,0.16349896133736508,1.904828248568935,283.13603358071373
