n_clases,radio,min_vecinos,silhouette_score,davies_bouldin_score,calinski_harabasz_score
148,500,3,0.4158768598949238,0.6422725527747924,108.56622839347932
95,600,3,0.14207928544347237,0.8054957217053879,31.24578180761336
51,700,3,-0.054466654013423765,0.8136084451260633,28.153625647337623
29,800,3,-0.1315989657869772,0.8388257120905356,24.43881447723916
14,900,3,-0.17662491851237463,0.9394607645743667,21.130859719573834
7,1000,3,-0.1450534244418203,0.8826271155062505,11.635550833002927
55,500,4,0.07388044211966725,1.3700674001186095,31.724673605309924
43,600,4,-0.029422054369770325,1.3528750665752807,32.09639998583026
28,700,4,-0.09370393586263594,1.1526146037089435,39.89295086180403
16,800,4,-0.07551940936903909,1.1500008412240688,40.58443955807376
9,900,4,-0.10012088314876828,1.3933400358374912,31.748933653130507
5,1000,4,-0.06255777830962962,1.4197546974743671,15.494314820122025
55,500,5,0.06385802306933648,1.3622350768785605,30.096528709515294
44,600,5,-0.041690369796044756,1.3331011720018116,29.480865939009703
28,700,5,-0.09495771984654629,1.1527840086882863,39.44788084774996
16,800,5,-0.07682896946309632,1.1464470594984264,40.6001689513236
9,900,5,-0.10139041813670796,1.4236242147856732,31.749571180558718
5,1000,5,-0.06255777830962962,1.4197546974743671,15.494314820122025
52,500,6,0.043067019855995446,1.328416123119076,29.59935736311044
44,600,6,-0.046186824319797655,1.3345707707577914,29.18907019066285
28,700,6,-0.09946897931113703,1.1825514411188636,38.179725364583
16,800,6,-0.07685897032036686,1.1462392542675748,40.65442260423368
9,900,6,-0.10109520415009135,1.405200181627038,31.949413138243276
5,1000,6,-0.06255777830962962,1.4197546974743671,15.494314820122025
