n_clases,radio,min_vecinos,silhouette_score,davies_bouldin_score,calinski_harabasz_score
272,500,3,0.5629251112547592,1.0749023403937188,13.575189129614767
290,600,3,0.6337923238541583,1.1059355578749657,20.103408622538545
302,700,3,0.6933007752473946,1.051057855879703,45.92577530669525
295,800,3,0.696687516758781,0.9961544015821739,66.44706635631918
283,900,3,0.6916198490259602,0.8412430605681444,99.92720741286703
263,1000,3,0.666633367343433,0.762336795763631,99.86960059645841
4,500,4,-0.23140944550279818,1.5954223511188774,6.470013965391874
7,600,4,-0.24189360151169853,1.2630332502228998,8.570286233332997
13,700,4,-0.23911852378091372,1.2892923118938162,7.83144920917332
21,800,4,-0.2203343260643592,1.3411078805522432,7.552583625896872
29,900,4,-0.1731331864096855,1.4120743073928879,7.969055921734308
43,1000,4,-0.08758298666597585,1.4040826772273036,8.947428345025152
4,500,5,-0.23140944550279818,1.5954223511188774,6.470013965391874
7,600,5,-0.24558333410284575,1.2635840453442577,7.938714743377411
10,700,5,-0.22640609403691722,1.210651313734647,9.104538516685393
19,800,5,-0.22076332651964603,1.3391593420617318,7.575700376837343
26,900,5,-0.19655837101147397,1.4277319366739865,7.591821827079934
38,1000,5,-0.12018925307448601,1.4375697300209649,8.335347436467556
4,500,6,-0.23140944550279818,1.5954223511188774,6.470013965391874
5,600,6,-0.2282780079205806,1.4338536007741804,7.4737694824127985
9,700,6,-0.22420886164677709,1.2380027204993165,9.227890676004543
14,800,6,-0.22108896359053717,1.262440690831033,8.365096269089339
22,900,6,-0.21655114133891645,1.4276139618786325,7.844181916966783
34,1000,6,-0.13048595314455885,1.4101256538180542,8.698734619495276
