n_clases,radio,min_vecinos,silhouette_score,davies_bouldin_score,calinski_harabasz_score
299,500,3,0.6918254620966635,1.0752961136451042,42.07272048810618
297,600,3,0.7209102220322892,0.8969787438989775,117.94344949805871
283,700,3,0.7155808228058246,0.7368841649583645,167.14777228434576
262,800,3,0.6876896188968632,0.46469549541755417,166.38772195172226
225,900,3,0.620158929146899,0.5790338415342603,99.55907166942521
196,1000,3,0.5630070398927547,0.6356462886561357,75.15268675208117
13,500,4,-0.27351850010703116,1.2454451586094692,8.06178076481004
23,600,4,-0.2569689158089384,1.326341507920006,7.263665595983577
31,700,4,-0.19260502052372977,1.3249709810192574,8.553245674298715
44,800,4,-0.09852283364267583,1.2969209755541564,10.819824464017277
52,900,4,0.0014758571778123338,1.3614823057145755,14.498951596443236
59,1000,4,0.07778277907654264,1.3651689839814434,19.742156704350485
10,500,5,-0.24784851470980784,1.1489989612295353,9.533853228891301
21,600,5,-0.2720452968556849,1.335775977903153,7.225870983277591
29,700,5,-0.20962362980768107,1.3374646919446345,8.171429179545857
43,800,5,-0.11061288136807035,1.2989650504770334,10.62486126852047
49,900,5,-0.022818566736432903,1.3545831862922226,14.362557838184644
57,1000,5,0.05281123728740883,1.3632118659651884,18.420352623933738
9,500,6,-0.24739833534455014,1.179246871407279,9.607005918400432
14,600,6,-0.27013703260615396,1.27995979589306,7.876344438624629
27,700,6,-0.22482397469189486,1.3654327903929027,7.889481999409959
38,800,6,-0.13769672808305894,1.326921961522349,9.870644047324737
43,900,6,-0.05102398846236731,1.3227020315333984,14.499210618234898
54,1000,6,0.029771733591336943,1.370266874500312,17.25032161282229
