n_clases,radio,min_vecinos,silhouette_score,davies_bouldin_score,calinski_harabasz_score
239,500,3,0.449546572230347,1.1220227634122677,8.497562420423908
274,600,3,0.5674266540861982,1.0844900396137447,13.720867321467647
289,700,3,0.6253236010910534,1.1126003814237122,19.18476771587464
299,800,3,0.6754885018302546,1.1005379082679547,34.893765422725856
298,900,3,0.6904692553824514,0.9741922936713722,63.40065724247345
289,1000,3,0.6824545400369517,0.8774515704925526,80.02810385477207
4,500,4,-0.22812270423272057,1.628131770063384,6.295427586594403
4,600,4,-0.22812270423272057,1.628131770063384,6.295427586594403
7,700,4,-0.23716256276913542,1.2957163405482717,8.320301248661513
11,800,4,-0.22690694855003796,1.293736434908962,8.59369254014683
20,900,4,-0.20564397648516075,1.3629885956612866,7.4850570795326545
28,1000,4,-0.18339553307855866,1.4419600694828578,7.100127355828932
4,500,5,-0.22988711749062873,1.624833304858803,6.118592173833524
4,600,5,-0.22812270423272057,1.628131770063384,6.295427586594403
6,700,5,-0.22852542148146487,1.375208812008314,7.554962211768315
10,800,5,-0.21656896601664222,1.2554953338410333,9.191048732502649
16,900,5,-0.2181505212544502,1.3048830463790115,7.720011050558467
24,1000,5,-0.19973235698277458,1.4361471822141478,6.981025638016705
3,500,6,-0.20002633915713183,1.6714354848810113,7.791940209942361
4,600,6,-0.22812270423272057,1.628131770063384,6.295427586594403
6,700,6,-0.22852542148146487,1.375208812008314,7.554962211768315
9,800,6,-0.21603716002352621,1.281856206600403,9.263397265416618
12,900,6,-0.22522780676187795,1.3368218621456007,8.206403518357172
19,1000,6,-0.21065059775845096,1.4123559786230584,7.3953637566514425
