n_clases,radio,min_vecinos,silhouette_score,davies_bouldin_score,calinski_harabasz_score
272,500,3,0.5613336019478535,1.108565397180971,13.137859749762804
292,600,3,0.6392532152643237,1.0959440299048824,21.811580350289404
303,700,3,0.6960416615438768,1.0783178343652433,49.24785262099395
297,800,3,0.6996942985967913,0.9489425746270259,78.04064210858165
283,900,3,0.69047630048606,0.8275483897774015,112.77225568853949
259,1000,3,0.6602185380082272,0.7740707683948367,94.23874486773683
5,500,4,-0.2295715539472152,1.4296084931548099,7.596993347219729
7,600,4,-0.24538228916788996,1.2563888201840474,8.726048604266488
13,700,4,-0.24975161990131386,1.3333942474884077,7.769512835665526
21,800,4,-0.2256207541860079,1.3589203172937898,7.609500155333585
32,900,4,-0.1730047821422511,1.4157290593174798,7.612305964879192
43,1000,4,-0.08382298112412633,1.4128882936621763,9.394805886762471
4,500,5,-0.23312831161565473,1.5939026862863155,6.539158705367956
6,600,5,-0.23328661552850774,1.3362871486405297,7.9243420197658745
11,700,5,-0.24084086303156355,1.2449805459093832,8.807143352516558
20,800,5,-0.23613816739847945,1.3538571831556998,7.532869244566748
27,900,5,-0.19980441821268755,1.4590333847071528,7.133470366122443
38,1000,5,-0.11457571990622206,1.414420122246873,9.172562142193417
4,500,6,-0.23312831161565473,1.5939026862863155,6.539158705367956
6,600,6,-0.23328661552850774,1.3362871486405297,7.9243420197658745
9,700,6,-0.22574128957065262,1.233294725073179,9.555961892491256
14,800,6,-0.2240208489740099,1.2374904607398896,8.875154777190863
26,900,6,-0.20900834287896303,1.4366052220484358,7.203889160699747
37,1000,6,-0.13208863593669107,1.446041739830164,8.411436743115289
