n_clases,radio,min_vecinos,silhouette_score,davies_bouldin_score,calinski_harabasz_score
9,500,3,-0.14259364516456735,0.7535482378271363,33.57476500720636
5,600,3,0.03248317963833215,0.8688155501713144,24.677096145444438
2,700,3,0.09420316923355655,1.0187736920774095,6.056633049524418
2,800,3,0.09420316923355655,1.0187736920774095,6.056633049524418
2,900,3,0.09420316923355655,1.0187736920774095,6.056633049524418
2,1000,3,0.09420316923355655,1.0187736920774095,6.056633049524418
8,500,4,-0.04008420387460879,1.2515165849076269,37.08351059924204
5,600,4,0.03248317963833215,0.8688155501713144,24.677096145444438
2,700,4,0.09420316923355655,1.0187736920774095,6.056633049524418
2,800,4,0.09420316923355655,1.0187736920774095,6.056633049524418
2,900,4,0.09420316923355655,1.0187736920774095,6.056633049524418
2,1000,4,0.09420316923355655,1.0187736920774095,6.056633049524418
8,500,5,-0.04008420387460879,1.2515165849076269,37.08351059924204
5,600,5,0.03248317963833215,0.8688155501713144,24.677096145444438
2,700,5,0.09420316923355655,1.0187736920774095,6.056633049524418
2,800,5,0.09420316923355655,1.0187736920774095,6.056633049524418
2,900,5,0.09420316923355655,1.0187736920774095,6.056633049524418
2,1000,5,0.09420316923355655,1.0187736920774095,6.056633049524418
8,500,6,-0.04008420387460879,1.2515165849076269,37.08351059924204
5,600,6,0.03248317963833215,0.8688155501713144,24.677096145444438
2,700,6,0.09420316923355655,1.0187736920774095,6.056633049524418
2,800,6,0.09420316923355655,1.0187736920774095,6.056633049524418
2,900,6,0.09420316923355655,1.0187736920774095,6.056633049524418
2,1000,6,0.09420316923355655,1.0187736920774095,6.056633049524418
