n_clases,radio,min_vecinos,silhouette_score,davies_bouldin_score,calinski_harabasz_score
286,500,3,0.6256886266487655,1.1001489945981888,18.74277331134806
301,600,3,0.6972641874660613,1.0505009830538061,46.781113641935406
294,700,3,0.7080945764020149,0.9919740667413609,83.19801005090412
280,800,3,0.7006282584876249,0.7323233435646946,136.20078629505616
266,900,3,0.6820713855942196,0.7477749665624573,121.26715123116641
237,1000,3,0.637560502342271,0.5305988631413552,98.49391553364786
6,500,4,-0.23922268252665038,1.301744245869392,10.28186539181141
14,600,4,-0.25467139799726973,1.2824217150071884,7.391139405500068
24,700,4,-0.23140943730350175,1.335133458911523,7.361843282787423
32,800,4,-0.1739182267997847,1.415472114219975,7.915960038788443
41,900,4,-0.09917991613009774,1.3063593935463678,10.31461491094322
51,1000,4,-0.0007004600538732671,1.3438847513093193,13.543622636820567
6,500,5,-0.24131435203129695,1.301552863064653,9.831088683937361
10,600,5,-0.235757220408477,1.1767936249428714,9.120297596991378
19,700,5,-0.2374878431641034,1.3689429681816911,7.30364625519816
29,800,5,-0.19886618917722595,1.394295710007894,7.904651037190112
37,900,5,-0.12646771694159392,1.3337356791317887,9.67552896628241
48,1000,5,-0.025841875886040873,1.3509821486640046,12.880319893252892
5,500,6,-0.23018978374796548,1.4117977957454608,8.36786096083117
9,600,6,-0.23493148356985263,1.2042692121075997,9.209565335454592
16,700,6,-0.23883195803436005,1.295302753067549,7.840828896428373
23,800,6,-0.2101764655658135,1.4190451074633812,8.001478932806346
36,900,6,-0.13123635385655602,1.3372289497000778,9.69786861202258
44,1000,6,-0.04679615582962438,1.3759836079088488,12.57997168014426
