n_clases,radio,min_vecinos,silhouette_score,davies_bouldin_score,calinski_harabasz_score
258,500,3,0.689813983004011,0.43132153075763696,295.0445413112078
216,600,3,0.6349920264379046,0.5298829523608771,186.28809464708175
179,700,3,0.5543600663252903,0.6274835225738837,127.5803853646925
122,800,3,0.3372716300073715,0.8170515584904909,46.780147534169075
77,900,3,0.09550793440620045,0.9154696997663841,21.126737225451222
46,1000,3,-0.030346720865346028,0.9366402219235093,17.07146999485878
43,500,4,-0.1428913555518302,1.2932927467870834,11.388145848357873
59,600,4,0.025321623165445877,1.2875957001731244,17.492431473249876
62,700,4,0.11273331598518559,1.3433239749324402,25.005158775562812
56,800,4,0.10475902934786614,1.2834511897246206,35.13720713075241
42,900,4,-0.02307153064321472,1.395890060043412,27.015366818207756
26,1000,4,-0.06791642150793445,1.27056742013344,25.019024193149576
37,500,5,-0.17925264225040613,1.2654747449835984,11.676320938660975
57,600,5,-0.001297199405464521,1.3003692164076703,15.401276669560025
62,700,5,0.10161247689806344,1.3354417306745539,24.235456967559468
56,800,5,0.09607587153295082,1.2879132326580698,33.422188746141856
42,900,5,-0.031336457035278355,1.3890494404098963,25.895385740939663
27,1000,5,-0.07148781400318571,1.3053733018459468,24.16394492220335
35,500,6,-0.1938733835767194,1.2956411533740346,11.21118603267693
55,600,6,-0.02893901149767669,1.3016407920922999,14.57518693529493
59,700,6,0.07847342373020212,1.2982821471661175,24.28516651838745
52,800,6,0.07371458828109849,1.2786938827775327,32.84818749550063
42,900,6,-0.03337061585807828,1.3955858142464264,25.53235038781638
27,1000,6,-0.07148781400318571,1.3053733018459468,24.16394492220335
