n_clases,radio,min_vecinos,silhouette_score,davies_bouldin_score,calinski_harabasz_score
306,500,3,0.7023681908599991,1.1898001939757317,41.33574896355453
297,600,3,0.7125581733125563,0.9072328399728192,111.92707102793358
276,700,3,0.6980581574733127,0.7527164976551607,155.0278151355213
253,800,3,0.6735485486214293,0.47221460641935203,151.850533907251
223,900,3,0.6317521606694171,0.5588773985818193,110.16934258204365
193,1000,3,0.5636073810476709,0.6356385556049324,76.90382577182484
10,500,4,-0.30113808161452016,1.2957558501119788,8.923931826509538
21,600,4,-0.2651642441568944,1.404066779901277,7.582133283467234
37,700,4,-0.16185859232983396,1.2927782922835818,9.59852609347727
48,800,4,-0.07967518346767744,1.3839053870414582,10.09621425327599
60,900,4,0.03555904810028087,1.332550218161587,15.202512193071167
61,1000,4,0.09551567283351305,1.4040180286433621,20.976724535264886
9,500,5,-0.2591923192627294,1.1783085264071866,9.873676363407377
20,600,5,-0.28004738412073515,1.403480714539303,7.2622737015316465
32,700,5,-0.19318233559649217,1.3184003487590843,8.888119681044552
45,800,5,-0.09809934558409708,1.3781151530846674,10.089172612057391
58,900,5,0.00954596684445539,1.375887784559297,13.045941880698216
59,1000,5,0.07887722466279919,1.3622755093262764,20.557145845633727
8,500,6,-0.26329491284788337,1.2190337724645908,9.167770462378657
15,600,6,-0.27971433525364775,1.3980491438397882,8.099191312885653
28,700,6,-0.21913937419711454,1.354203803636885,8.558752789179726
41,800,6,-0.12227593190069037,1.3646555330198258,10.052988969471647
53,900,6,-0.019311524038413453,1.3654847038523585,12.528890560572208
57,1000,6,0.0632111496591634,1.3577622521535897,20.070940985034728
